category,victim,supervision,math500,aime24,aime25,jee_math_strict,jee_math_partial,lcb
No distillation,--,--,71.0,8.9,2.2,32.2,35.9,15.8
Oracle internal trace,Qwen3-14B,Internal trace,70.3,14.4,13.3,48.5,51.2,14.7
Oracle internal trace,Qwen3-32B,Internal trace,70.0,16.7,15.6,46.4,49.3,15.8
REP exposed trace,Qwen3-14B,"Exposed trace, all valid",72.4,12.2,13.3,33.5,38.9,18.3
REP exposed trace,Qwen3-14B,"Exposed trace, answer-clean",75.8,14.4,13.3,35.2,39.5,19.0
REP exposed trace,Qwen3-32B,"Exposed trace, all valid",73.9,13.3,13.3,38.1,42.2,16.5
REP exposed trace,Qwen3-32B,"Exposed trace, answer-clean",72.8,14.4,17.8,36.4,41.1,15.8
Control supervision,Qwen3-14B,Answer only,25.5,1.1,0.0,31.8,35.9,17.6
Control supervision,Qwen3-32B,Answer only,25.4,0.0,0.0,31.4,35.3,16.8
Control supervision,Qwen3-14B,Summary of reasoning trace,69.3,7.8,8.9,25.7,29.2,18.3
Control supervision,Qwen3-32B,Summary of reasoning trace,69.8,8.9,4.4,25.8,29.4,16.8
TIA (Zhang et al. 2026),Qwen3-14B,Trace inversion attack,72.0,11.1,20.0,23.9,26.3,2.62
TIA (Zhang et al. 2026),Qwen3-32B,Trace inversion attack,71.4,8.9,20.0,19.9,21.8,9.21
